response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0048,0.0016,0.0004,0.0001,0.0025,0.0005,200,0.0004
0.0051,0.0024,0.0005,0.0001,0.0022,0.0004,200,0.0003
0.0054,0.0028,0.0005,0.0000,0.0023,0.0002,200,0.0002
0.0056,0.0026,0.0005,0.0000,0.0025,0.0004,200,0.0003
0.0066,0.0027,0.0005,0.0000,0.0025,0.0013,200,0.0003
0.0071,0.0027,0.0005,0.0000,0.0028,0.0016,200,0.0003
0.0029,0.0000,0.0000,0.0000,0.0010,0.0019,200,0.0051
0.0026,0.0000,0.0000,0.0000,0.0009,0.0016,200,0.0054
0.0025,0.0000,0.0000,0.0000,0.0010,0.0015,200,0.0055
0.0080,0.0028,0.0005,0.0000,0.0037,0.0013,200,0.0001
0.0028,0.0000,0.0000,0.0000,0.0012,0.0015,200,0.0059
0.0084,0.0027,0.0005,0.0000,0.0043,0.0013,200,0.0003
0.0030,0.0000,0.0000,0.0000,0.0009,0.0021,200,0.0068
0.0096,0.0028,0.0006,0.0000,0.0048,0.0020,200,0.0003
0.0033,0.0000,0.0000,0.0000,0.0010,0.0023,200,0.0074
0.0105,0.0028,0.0007,0.0009,0.0046,0.0021,200,0.0003
0.0036,0.0000,0.0000,0.0000,0.0010,0.0026,200,0.0080
0.0036,0.0000,0.0000,0.0000,0.0012,0.0024,200,0.0080
0.0036,0.0000,0.0000,0.0000,0.0013,0.0022,200,0.0080
0.0036,0.0000,0.0000,0.0000,0.0015,0.0021,200,0.0081
0.0114,0.0028,0.0005,0.0009,0.0058,0.0019,200,0.0003
0.0038,0.0000,0.0000,0.0000,0.0015,0.0022,200,0.0087
0.0038,0.0000,0.0000,0.0000,0.0017,0.0021,200,0.0087
0.0123,0.0037,0.0005,0.0000,0.0066,0.0019,200,0.0002
0.0041,0.0000,0.0000,0.0000,0.0012,0.0029,200,0.0099
0.0041,0.0000,0.0000,0.0000,0.0014,0.0027,200,0.0099
0.0148,0.0035,0.0007,0.0001,0.0076,0.0036,200,0.0003
0.0044,0.0000,0.0000,0.0000,0.0013,0.0031,200,0.0107
0.0044,0.0000,0.0000,0.0000,0.0014,0.0029,200,0.0107
0.0148,0.0028,0.0006,0.0006,0.0085,0.0028,200,0.0003
0.0052,0.0000,0.0000,0.0000,0.0012,0.0039,200,0.0116
0.0052,0.0000,0.0000,0.0000,0.0014,0.0037,200,0.0116
0.0052,0.0000,0.0000,0.0000,0.0016,0.0036,200,0.0116
0.0052,0.0000,0.0000,0.0000,0.0018,0.0034,200,0.0116
0.0051,0.0000,0.0000,0.0000,0.0019,0.0032,200,0.0117
0.0166,0.0037,0.0007,0.0000,0.0099,0.0030,200,0.0003
0.0058,0.0000,0.0000,0.0000,0.0019,0.0039,200,0.0125
0.0059,0.0000,0.0000,0.0000,0.0021,0.0038,200,0.0125
0.0058,0.0000,0.0000,0.0000,0.0023,0.0036,200,0.0125
0.0181,0.0036,0.0007,0.0000,0.0110,0.0034,200,0.0003
0.0062,0.0000,0.0000,0.0000,0.0021,0.0042,200,0.0140
0.0063,0.0000,0.0000,0.0000,0.0024,0.0039,200,0.0140
0.0201,0.0038,0.0007,0.0000,0.0126,0.0037,200,0.0002
0.0073,0.0000,0.0000,0.0000,0.0022,0.0051,200,0.0151
0.0073,0.0000,0.0000,0.0000,0.0024,0.0049,200,0.0151
0.0074,0.0000,0.0000,0.0000,0.0026,0.0048,200,0.0151
0.0074,0.0000,0.0000,0.0000,0.0028,0.0046,200,0.0151
0.0224,0.0038,0.0004,0.0000,0.0141,0.0044,200,0.0001
0.0070,0.0000,0.0000,0.0000,0.0020,0.0050,200,0.0167
0.0070,0.0000,0.0000,0.0000,0.0022,0.0048,200,0.0167
0.0070,0.0000,0.0000,0.0000,0.0024,0.0046,200,0.0168
0.0070,0.0000,0.0000,0.0000,0.0026,0.0044,200,0.0168
0.0070,0.0000,0.0000,0.0000,0.0028,0.0042,200,0.0168
0.0236,0.0037,0.0007,0.0000,0.0161,0.0038,200,0.0003
0.0071,0.0000,0.0000,0.0000,0.0030,0.0041,200,0.0169
0.0072,0.0000,0.0000,0.0000,0.0027,0.0045,200,0.0182
0.0071,0.0000,0.0000,0.0000,0.0031,0.0040,200,0.0183
0.0071,0.0000,0.0000,0.0000,0.0035,0.0036,200,0.0184
0.0071,0.0000,0.0000,0.0000,0.0037,0.0034,200,0.0184
0.0253,0.0038,0.0005,0.0000,0.0183,0.0032,200,0.0003
0.0077,0.0000,0.0000,0.0000,0.0028,0.0049,200,0.0202
0.0077,0.0000,0.0000,0.0000,0.0030,0.0047,200,0.0203
0.0076,0.0000,0.0000,0.0000,0.0032,0.0045,200,0.0203
0.0276,0.0037,0.0005,0.0000,0.0196,0.0043,200,0.0004
0.0071,0.0000,0.0000,0.0000,0.0019,0.0052,200,0.0224
0.0071,0.0000,0.0000,0.0000,0.0020,0.0050,200,0.0224
0.0071,0.0000,0.0000,0.0000,0.0022,0.0048,200,0.0225
0.0071,0.0000,0.0000,0.0000,0.0024,0.0047,200,0.0225
0.0071,0.0000,0.0000,0.0000,0.0026,0.0045,200,0.0225
0.0294,0.0038,0.0007,0.0000,0.0212,0.0043,200,0.0003
0.0070,0.0000,0.0000,0.0000,0.0021,0.0049,200,0.0237
0.0070,0.0000,0.0000,0.0000,0.0023,0.0048,200,0.0238
0.0070,0.0000,0.0000,0.0000,0.0025,0.0046,200,0.0238
0.0070,0.0000,0.0000,0.0000,0.0027,0.0044,200,0.0238
