response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0039,0.0014,0.0004,0.0000,0.0024,0.0000,200,0.0003
0.0040,0.0017,0.0004,0.0000,0.0022,0.0000,200,0.0002
0.0046,0.0022,0.0005,0.0001,0.0023,0.0001,200,0.0002
0.0049,0.0023,0.0005,0.0000,0.0025,0.0000,200,0.0002
0.0051,0.0023,0.0004,0.0000,0.0027,0.0000,200,0.0003
0.0052,0.0023,0.0005,0.0015,0.0013,0.0000,200,0.0002
0.0053,0.0000,0.0007,0.0000,0.0013,0.0000,200,0.0002
0.0055,0.0000,0.0005,0.0000,0.0014,0.0000,200,0.0002
0.0057,0.0022,0.0004,0.0001,0.0033,0.0000,200,0.0003
0.0008,0.0000,0.0000,0.0000,0.0007,0.0000,200,0.0054
0.0010,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0055
0.0011,0.0000,0.0000,0.0000,0.0011,0.0000,200,0.0057
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0048
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0051
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0053
0.0077,0.0024,0.0005,0.0014,0.0039,0.0000,200,0.0003
0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0062
0.0019,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0065
0.0019,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0068
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0073
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0075
0.0016,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0077
0.0035,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.0059
0.0095,0.0023,0.0005,0.0001,0.0069,0.0000,200,0.0002
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0082
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0084
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0086
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0088
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0091
0.0017,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0093
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0095
0.0036,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.0080
0.0115,0.0024,0.0005,0.0000,0.0091,0.0000,200,0.0003
0.0020,0.0000,0.0000,0.0000,0.0020,0.0000,200,0.0099
0.0021,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.0101
0.0021,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.0104
0.0021,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.0106
0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.0108
0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.0110
0.0022,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.0112
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.0115
0.0042,0.0000,0.0000,0.0000,0.0042,0.0000,200,0.0097
0.0140,0.0023,0.0004,0.0000,0.0115,0.0000,200,0.0002
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0120
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0122
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0125
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0127
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0129
0.0024,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0132
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0134
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0137
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0139
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0117
0.0169,0.0000,0.0008,0.0000,0.0128,0.0000,200,0.0002
0.0029,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.0144
0.0029,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.0146
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0149
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0151
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0154
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0156
0.0025,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.0161
0.0025,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.0164
0.0025,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.0166
0.0025,0.0000,0.0000,0.0000,0.0025,0.0000,200,0.0168
0.0055,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0141
0.0196,0.0024,0.0006,0.0014,0.0158,0.0000,200,0.0002
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0173
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0175
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0177
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0179
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0182
0.0028,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0184
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0187
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0189
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0191
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0194
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0196
0.0054,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0171
0.0224,0.0037,0.0003,0.0000,0.0186,0.0000,200,0.0003
0.0029,0.0000,0.0000,0.0000,0.0029,0.0000,200,0.0201
0.0029,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0203
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0205
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0208
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0210
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0212
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0214
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0216
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0219
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.0221
0.0035,0.0000,0.0000,0.0000,0.0034,0.0000,200,0.0223
0.0035,0.0000,0.0000,0.0000,0.0035,0.0000,200,0.0225
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0198
0.0263,0.0039,0.0006,0.0000,0.0223,0.0000,200,0.0002
0.0038,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0230
0.0038,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0232
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0234
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0236
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0238
0.0038,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0240
0.0038,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0242
0.0038,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0245
0.0034,0.0000,0.0000,0.0000,0.0034,0.0000,200,0.0251
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0255
0.0031,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0258
0.0031,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0260
0.0031,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0263
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0227
0.0296,0.0025,0.0006,0.0015,0.0256,0.0000,200,0.0002
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0268
0.0033,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0270
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0272
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0274
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0276
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0278
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0281
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0283
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0285
0.0032,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0287
0.0032,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.0289
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0291
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0294
0.0031,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0296
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0265
