response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.0212,0.0025,0.0014,0.0001,1.0058,0.0127,200,0.0002
1.0213,0.0033,0.0014,0.0000,1.0060,0.0119,200,0.0003
1.0229,0.0041,0.0010,0.0000,1.0057,0.0131,200,0.0005
1.0232,0.0048,0.0014,0.0000,1.0066,0.0117,200,0.0003
1.0232,0.0047,0.0013,0.0000,1.0068,0.0116,200,0.0004
1.0234,0.0048,0.0013,0.0000,1.0072,0.0112,200,0.0003
1.0233,0.0048,0.0013,0.0000,1.0077,0.0108,200,0.0004
1.0233,0.0049,0.0012,0.0000,1.0081,0.0103,200,0.0004
1.0233,0.0048,0.0012,0.0000,1.0085,0.0100,200,0.0005
1.0234,0.0049,0.0010,0.0000,1.0088,0.0097,200,0.0005
1.0236,0.0051,0.0012,0.0000,1.0091,0.0094,200,0.0003
1.0236,0.0051,0.0011,0.0000,1.0095,0.0090,200,0.0004
1.0238,0.0050,0.0011,0.0000,1.0098,0.0088,200,0.0003
1.0238,0.0051,0.0011,0.0000,1.0105,0.0080,200,0.0003
1.0238,0.0053,0.0012,0.0000,1.0107,0.0078,200,0.0003
1.0237,0.0052,0.0011,0.0000,1.0108,0.0078,200,0.0005
1.0239,0.0051,0.0011,0.0000,1.0109,0.0077,200,0.0003
1.0238,0.0052,0.0012,0.0000,1.0109,0.0076,200,0.0005
1.0240,0.0053,0.0012,0.0000,1.0111,0.0075,200,0.0003
1.0241,0.0053,0.0012,0.0000,1.0112,0.0074,200,0.0003
1.0241,0.0054,0.0013,0.0000,1.0113,0.0074,200,0.0004
1.0240,0.0053,0.0010,0.0000,1.0114,0.0073,200,0.0005
1.0242,0.0054,0.0012,0.0000,1.0115,0.0072,200,0.0003
1.0241,0.0054,0.0012,0.0000,1.0115,0.0071,200,0.0005
1.0242,0.0056,0.0013,0.0000,1.0116,0.0070,200,0.0004
1.0260,0.0056,0.0012,0.0000,1.0117,0.0087,200,0.0005
1.0262,0.0056,0.0012,0.0000,1.0125,0.0078,200,0.0003
1.0260,0.0056,0.0011,0.0000,1.0126,0.0078,200,0.0005
1.0261,0.0058,0.0013,0.0000,1.0127,0.0077,200,0.0004
1.0261,0.0057,0.0012,0.0000,1.0128,0.0076,200,0.0005
1.0264,0.0058,0.0012,0.0000,1.0129,0.0075,200,0.0003
1.0263,0.0059,0.0013,0.0000,1.0130,0.0074,200,0.0004
1.0263,0.0059,0.0013,0.0000,1.0130,0.0074,200,0.0004
1.0263,0.0059,0.0012,0.0000,1.0131,0.0074,200,0.0005
1.0265,0.0059,0.0012,0.0000,1.0131,0.0073,200,0.0003
1.0264,0.0060,0.0012,0.0000,1.0132,0.0072,200,0.0005
1.0265,0.0061,0.0013,0.0000,1.0133,0.0072,200,0.0004
1.0265,0.0061,0.0012,0.0000,1.0133,0.0071,200,0.0005
1.0262,0.0058,0.0007,0.0000,1.0134,0.0070,200,0.0008
1.0267,0.0062,0.0013,0.0000,1.0134,0.0070,200,0.0004
1.0269,0.0062,0.0012,0.0000,1.0135,0.0070,200,0.0003
1.0268,0.0063,0.0013,0.0000,1.0136,0.0069,200,0.0005
1.0268,0.0063,0.0013,0.0000,1.0137,0.0067,200,0.0005
1.0268,0.0064,0.0013,0.0000,1.0138,0.0067,200,0.0005
1.0271,0.0064,0.0012,0.0000,1.0139,0.0066,200,0.0003
1.0270,0.0065,0.0013,0.0000,1.0139,0.0065,200,0.0004
1.0272,0.0065,0.0012,0.0000,1.0140,0.0065,200,0.0002
1.0270,0.0065,0.0013,0.0000,1.0141,0.0064,200,0.0005
1.0272,0.0065,0.0012,0.0000,1.0142,0.0063,200,0.0003
1.0335,0.0066,0.0013,0.0000,1.0143,0.0126,200,0.0004
1.0164,0.0000,0.0000,0.0000,1.0070,0.0093,200,1.0214
1.0191,0.0000,0.0000,0.0000,1.0078,0.0113,200,1.0216
1.0173,0.0000,0.0000,0.0000,1.0069,0.0104,200,1.0234
1.0173,0.0000,0.0000,0.0000,1.0073,0.0099,200,1.0236
1.0173,0.0000,0.0000,0.0000,1.0077,0.0096,200,1.0236
