response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.0070,0.0023,0.0007,0.0001,1.0035,0.0011,200,0.0004
1.0084,0.0027,0.0007,0.0000,1.0055,0.0001,200,0.0004
1.0106,0.0032,0.0008,0.0000,1.0063,0.0010,200,0.0003
1.0116,0.0032,0.0008,0.0000,1.0074,0.0010,200,0.0003
1.0127,0.0032,0.0007,0.0000,1.0094,0.0001,200,0.0004
1.0130,0.0032,0.0007,0.0000,1.0096,0.0000,200,0.0002
1.0130,0.0035,0.0007,0.0016,1.0078,0.0000,200,0.0004
1.0133,0.0036,0.0009,0.0015,1.0080,0.0000,200,0.0002
1.0135,0.0034,0.0007,0.0000,1.0099,0.0000,200,0.0001
1.0134,0.0036,0.0007,0.0016,1.0081,0.0000,200,0.0004
1.0135,0.0034,0.0006,0.0002,1.0099,0.0000,200,0.0004
1.0139,0.0034,0.0009,0.0000,1.0104,0.0000,200,0.0001
1.0138,0.0033,0.0008,0.0001,1.0104,0.0000,200,0.0003
1.0141,0.0037,0.0007,0.0001,1.0102,0.0000,200,0.0003
1.0141,0.0037,0.0007,0.0016,1.0088,0.0000,200,0.0003
1.0144,0.0036,0.0007,0.0002,1.0106,0.0000,200,0.0002
1.0143,0.0037,0.0007,0.0016,1.0089,0.0000,200,0.0003
1.0144,0.0037,0.0007,0.0000,1.0105,0.0001,200,0.0003
1.0171,0.0053,0.0008,0.0000,1.0117,0.0000,200,0.0004
1.0174,0.0052,0.0007,0.0000,1.0121,0.0000,200,0.0003
1.0176,0.0037,0.0007,0.0000,1.0138,0.0000,200,0.0003
1.0178,0.0037,0.0006,0.0014,1.0125,0.0000,200,0.0002
1.0180,0.0053,0.0007,0.0000,1.0126,0.0000,200,0.0002
1.0181,0.0038,0.0007,0.0000,1.0142,0.0001,200,0.0002
1.0182,0.0052,0.0007,0.0000,1.0129,0.0001,200,0.0004
1.0182,0.0052,0.0005,0.0000,1.0129,0.0001,200,0.0004
1.0185,0.0052,0.0007,0.0000,1.0132,0.0000,200,0.0003
1.0186,0.0053,0.0007,0.0000,1.0132,0.0000,200,0.0003
1.0188,0.0039,0.0007,0.0015,1.0134,0.0000,200,0.0003
1.0190,0.0039,0.0007,0.0013,1.0136,0.0001,200,0.0002
1.0190,0.0052,0.0007,0.0000,1.0138,0.0000,200,0.0003
1.0192,0.0052,0.0007,0.0000,1.0139,0.0001,200,0.0003
1.0193,0.0052,0.0007,0.0000,1.0141,0.0000,200,0.0003
1.0194,0.0051,0.0007,0.0000,1.0142,0.0000,200,0.0004
1.0195,0.0052,0.0007,0.0000,1.0143,0.0000,200,0.0004
1.0198,0.0052,0.0006,0.0000,1.0144,0.0000,200,0.0002
1.0200,0.0052,0.0007,0.0000,1.0145,0.0000,200,0.0002
1.0201,0.0052,0.0007,0.0000,1.0146,0.0000,200,0.0002
1.0202,0.0052,0.0007,0.0000,1.0148,0.0000,200,0.0002
